"id","pri","sec","類別名稱","年期","note1","note2","describe"
"560","4296","010","器械 (啞呤/ 划船器/ 推胸架)","5","None","None","None"
"561","4296","011","陶瓷製作設備 (燒台/ 拉胚機/ 泥條機/ 乾燥架/ 電爐)","5","None","None","None"
"562","4296","012","籃球架","5","None","None","None"
"563","4296","013","乒乓球台","5","None","None","None"
"564","4296","014","電視機/ 攝像機承托架","5","None","None","None"
"565","4296","015","電子白板架","5","None","None","None"
"566","4296","016","投影機幕","5","None","None","None"
"567","4296","017","健身器械 (磁控單車/ 划艇/ 電動跑步機)","5","None","None","None"
"568","4296","018","三摺地墊","5","None","None","None"
"569","4296","019","意大利版畫機連腳架","5","None","None","None"
"570","4296","020","日本版畫機無腳架","5","None","None","None"
"571","4296","021","畫板整理箱(滾筒保護箱)","5","None","None","None"
"572","4296","022","作品乾燥棚(晾乾架)","5","None","None","None"
"573","4296","023","Annotation Pod 投射器","5","None","None","None"
"574","6112","000","教材教具","-1","None","None","None"
"575","6112","001","辭典機","5","None","None","None"
"576","6112","002","激光筆","5","None","None","None"
"577","6112","003","錄音筆","5","None","None","None"
"578","6113","000","體育用品","-1","None","None","None"
"579","6113","001","籃球架","5","None","None","None"
"580","6315","000","易損耗工具及","-1","None","None","None"
"581","6315","001","錄音筆","0","None","None","None"
"582","6315","002","電子光筆","5","None","None","None"
"583","6315","003","錄音咪","5","None","None","None"
"584","6315","004","LED 電子板","5","None","None","None"
"585","6315","005","耳機麥克風 (headset)","5","None","None","None"
"586","6315","006","風筒","5","None","None","None"
"587","6315","007","抽氣扇","5","None","None","None"
"588","6315","008","電話","5","None","None","None"
"589","6315","009","電熱水瓶","5","None","None","None"
"590","6315","010","冷熱飲水機","5","None","None","None"
"591","6315","011","風扇(掛牆 / 落地 / 樓底扇)","5","None","None","None"
"592","6315","012","吸塵機","5","None","None","None"
"593","6315","013","暖爐","5","None","None","None"
"594","6315","014","熱水爐","5","None","None","None"
"595","6315","015","垃圾桶(細)","5","None","None","None"
"596","6315","016","級梯","5","None","None","None"
"597","6315","017","膠箱","5","None","None","None"
"598","6315","018","雜誌架","5","None","None","None"
"599","6315","019","蚊管 / 蚊燈","5","None","None","None"
"600","6315","020","欄杆座 / 伸縮紅繩帶欄杆座","5","None","None","None"
"601","6315","021","台燈","5","None","None","None"
"602","6315","022","餐車","5","None","None","None"
"603","6315","023","鏡框","5","None","None","None"
"604","6315","024","海報架 / 掛牆木框書架及裝裱 / 廣告相架 / A4插廣告牌","5","None","None","None"
"605","6315","025","萬能線鋸機","5","None","None","None"
"606","6315","026","砂帶機","5","None","None","None"
"607","6315","027","對講機","5","None","None","None"
"608","6743","000","護理室儀器及","-1","None","None","None"
"609","6743","001","手提紅外線溫度測量槍(額頭測溫機)","5","None","None","None"
"610","6743","002","免接觸額頭探熱器","5","None","None","None"
"611","6743","003","輪椅","5","None","None","None"
"612","6743","004","紫外光殺菌燈車","5","None","None","None"
"613","6743","005","耳探式電子溫度計","5","None","None","None"
"614","6743","006","臂血壓計","5","None","None","None"
"615","63162","000","辦公室及電腦","-1","None","None","None"
"616","63162","001","鍵盤","5","None","None","None"
"617","63162","002","滑鼠","5","None","None","None"
"618","63162","003","內置硬盤","5","None","None","None"
"619","63162","004","內置DVD光碟機","5","None","None","None"
"620","63162","005","外置DVD光碟機","5","None","None","None"
"621","63162","006","視像鏡頭","5","None","None","None"
"622","63162","007","USB","5","None","None","None"
"623","63162","008","手寫板","5","None","None","None"
"624","63162","009","簡報搖控","5","None","None","None"
"625","63162","011","標籤機","5","None","None","None"
"626","63162","012","過膠機","5","None","None","None"
"627","63162","013","滾軸裁紙刀 / 切紙刀","5","None","None","None"
"628","63162","014","啪釘機","5","None","None","None"
"629","63162","015","計算機","5","None","None","None"
"630","63162","016","記憶體","5","None","None","None"
"631","63162","017","外置硬盤","5","None","None","None"
"632","0","000","","0","None","None","None"
"633","0","000","","0","None","None","None"
"634","0","000","","0","None","None","None"
"635","0","000","","0","None","None","None"
"636","0","000","","0","None","None","None"
"637","0","000","","0","None","None","None"
"638","0","000","","0","None","None","None"
"639","0","000","","0","None","None","None"
"640","0","000","","0","None","None","None"
"641","0","000","","0","None","None","None"
"642","0","000","","0","None","None","None"
"643","0","000","","0","None","None","None"
"644","0","000","","0","None","None","None"
"645","0","000","","0","None","None","None"
"646","0","000","","0","None","None","None"
"647","0","000","","0","None","None","None"
"648","0","000","","0","None","None","None"
"649","0","000","","0","None","None","None"
"650","0","000","","0","None","None","None"
